id,created,modified,user_id,followed_user_id,is_deleted
120,2019-05-26 08:53:49.245 +0900,2019-05-26 08:53:49.246 +0900,20,201,False
121,2019-05-26 13:34:27.129 +0900,2019-05-26 13:34:27.129 +0900,17,353,False
122,2019-05-31 04:46:20.597 +0900,2019-05-31 04:46:20.597 +0900,49,364,False
123,2019-05-31 15:46:00.247 +0900,2019-05-31 15:46:00.247 +0900,365,58,False
126,2019-06-12 15:37:37.807 +0900,2019-06-12 15:37:37.808 +0900,351,349,False
127,2019-06-12 16:12:52.928 +0900,2019-06-12 16:12:52.929 +0900,351,40,False
128,2019-06-19 09:48:30.383 +0900,2019-06-19 09:48:30.383 +0900,349,17,False
129,2019-06-19 20:26:49.793 +0900,2019-06-19 20:26:49.793 +0900,13,17,False
130,2019-06-27 03:46:08.495 +0900,2019-06-27 03:46:08.496 +0900,17,364,False
131,2019-07-12 14:16:47.275 +0900,2019-07-12 14:16:47.276 +0900,396,349,False
132,2019-07-12 14:18:15.659 +0900,2019-07-12 14:18:15.659 +0900,396,17,False
133,2019-08-20 14:41:45.083 +0900,2019-08-20 14:41:45.084 +0900,17,403,False
134,2019-09-10 19:36:51.362 +0900,2019-09-10 19:36:51.362 +0900,403,17,False
135,2019-09-10 19:37:33.570 +0900,2019-09-10 19:37:33.571 +0900,403,349,False
136,2019-10-31 21:49:49.256 +0900,2019-10-31 21:49:49.256 +0900,49,20,False
137,2019-11-08 23:37:41.714 +0900,2019-11-08 23:37:41.714 +0900,417,49,False
138,2019-11-14 18:15:44.034 +0900,2019-11-14 18:15:44.035 +0900,421,49,False
139,2020-01-21 20:13:54.941 +0900,2020-01-21 20:13:54.941 +0900,49,417,False
140,2020-01-21 20:13:56.838 +0900,2020-01-21 20:13:56.838 +0900,49,421,False
141,2020-01-21 20:16:37.193 +0900,2020-01-21 20:16:37.193 +0900,49,40,False
142,2020-01-21 20:16:41.372 +0900,2020-01-21 20:16:41.372 +0900,49,17,False
144,2020-01-21 20:16:47.535 +0900,2020-01-21 20:16:47.535 +0900,49,19,False
146,2020-01-21 20:17:03.707 +0900,2020-01-21 20:17:03.707 +0900,49,13,False
147,2020-01-21 20:17:09.352 +0900,2020-01-21 20:17:09.353 +0900,49,242,False
148,2020-01-21 20:17:16.645 +0900,2020-01-21 20:17:16.645 +0900,49,164,False
149,2020-01-22 10:49:59.025 +0900,2020-01-22 10:49:59.025 +0900,420,49,False
150,2020-01-22 15:20:22.784 +0900,2020-01-22 15:20:22.784 +0900,49,420,False
151,2020-01-23 11:43:07.007 +0900,2020-01-23 11:43:07.007 +0900,49,349,False
152,2020-01-23 11:43:15.281 +0900,2020-01-23 11:43:15.281 +0900,49,407,False
153,2020-03-23 15:51:52.244 +0900,2020-03-23 15:51:52.244 +0900,420,421,False
154,2020-04-02 12:45:25.352 +0900,2020-04-02 12:45:25.353 +0900,445,49,False
155,2020-04-23 17:58:23.650 +0900,2020-04-23 17:58:23.650 +0900,453,40,False
157,2020-04-29 16:46:02.798 +0900,2020-04-29 16:46:02.798 +0900,49,455,False
158,2020-05-06 17:10:10.229 +0900,2020-05-06 17:10:10.229 +0900,456,17,False
159,2020-05-06 17:10:14.999 +0900,2020-05-06 17:10:15.000 +0900,456,49,False
160,2020-05-06 17:10:36.316 +0900,2020-05-06 17:10:36.317 +0900,49,456,False
161,2020-05-08 14:27:04.025 +0900,2020-05-08 14:27:04.025 +0900,49,459,False
162,2020-05-08 14:28:08.739 +0900,2020-05-08 14:28:08.740 +0900,459,49,False
163,2020-05-11 23:46:00.628 +0900,2020-05-11 23:46:00.628 +0900,460,49,False
164,2020-05-14 14:12:08.311 +0900,2020-05-14 14:12:08.312 +0900,464,49,False
165,2020-05-14 14:13:03.764 +0900,2020-05-14 14:13:03.764 +0900,49,464,False
166,2020-05-14 14:40:36.136 +0900,2020-05-14 14:40:36.137 +0900,465,49,False
167,2020-06-01 19:31:50.858 +0900,2020-06-01 19:31:50.859 +0900,475,49,False
168,2020-06-01 19:33:17.176 +0900,2020-06-01 19:33:17.176 +0900,49,475,False
169,2020-06-01 19:33:19.948 +0900,2020-06-01 19:33:19.948 +0900,49,465,False
170,2020-06-01 19:33:22.414 +0900,2020-06-01 19:33:22.414 +0900,49,460,False
171,2020-06-01 19:33:24.020 +0900,2020-06-01 19:33:24.020 +0900,49,445,False
172,2020-07-13 16:31:12.095 +0900,2020-07-13 16:31:12.095 +0900,49,474,False
173,2020-08-12 17:39:29.288 +0900,2020-08-12 17:39:29.288 +0900,421,420,False
175,2020-08-18 16:57:36.907 +0900,2020-08-18 16:57:36.907 +0900,49,518,False
176,2020-08-18 20:09:14.515 +0900,2020-08-18 20:09:14.516 +0900,49,520,False
177,2020-08-26 14:00:32.568 +0900,2020-08-26 14:00:32.568 +0900,49,39,False
178,2020-08-26 14:00:32.841 +0900,2020-08-26 14:00:32.842 +0900,49,422,False
180,2020-08-26 14:00:32.929 +0900,2020-08-26 14:00:32.929 +0900,49,457,False
181,2020-08-26 19:53:35.369 +0900,2020-08-26 19:53:35.370 +0900,420,422,False
182,2020-08-26 19:53:57.912 +0900,2020-08-26 19:53:57.913 +0900,420,438,False
183,2020-08-26 19:54:41.194 +0900,2020-08-26 19:54:41.195 +0900,420,349,False
5024,2021-08-10 18:00:01.228 +0900,2021-08-10 18:00:01.228 +0900,2563,1126,False
190,2020-08-31 14:07:27.812 +0900,2020-08-31 14:07:27.812 +0900,554,49,False
191,2020-08-31 14:08:23.427 +0900,2020-08-31 14:08:23.427 +0900,554,17,False
192,2020-08-31 14:21:55.132 +0900,2020-08-31 14:21:55.132 +0900,554,475,False
194,2020-08-31 21:33:45.299 +0900,2020-08-31 21:33:45.300 +0900,520,17,False
195,2020-08-31 22:19:10.184 +0900,2020-08-31 22:19:10.184 +0900,520,49,False
196,2020-08-31 23:06:29.759 +0900,2020-08-31 23:06:29.759 +0900,554,520,False
197,2020-09-01 20:02:03.785 +0900,2020-09-01 20:02:03.785 +0900,554,554,False
198,2020-09-03 18:14:26.142 +0900,2020-09-03 18:14:26.142 +0900,559,49,False
199,2020-09-03 22:54:25.671 +0900,2020-09-03 22:54:25.671 +0900,528,49,False
200,2020-09-10 11:59:44.401 +0900,2020-09-10 11:59:44.401 +0900,575,519,False
201,2020-09-10 12:01:37.420 +0900,2020-09-10 12:01:37.420 +0900,519,575,False
203,2020-09-14 21:11:22.955 +0900,2020-09-14 21:11:22.955 +0900,49,448,False
204,2020-09-15 16:12:57.657 +0900,2020-09-15 16:12:57.657 +0900,594,20,False
206,2020-09-23 22:45:06.383 +0900,2020-09-23 22:45:06.383 +0900,49,559,False
207,2020-09-23 22:45:08.151 +0900,2020-09-23 22:45:08.151 +0900,49,554,False
208,2020-09-23 22:45:12.343 +0900,2020-09-23 22:45:12.343 +0900,49,528,False
209,2020-09-29 14:11:16.910 +0900,2020-09-29 14:11:16.911 +0900,623,49,False
210,2020-10-05 18:46:23.342 +0900,2020-10-05 18:46:23.342 +0900,420,604,False
211,2020-10-05 18:47:14.799 +0900,2020-10-05 18:47:14.799 +0900,604,420,False
212,2020-10-26 20:07:28.120 +0900,2020-10-26 20:07:28.121 +0900,667,518,False
213,2020-10-27 18:06:14.866 +0900,2020-10-27 18:06:14.866 +0900,49,671,False
215,2020-10-27 23:38:54.818 +0900,2020-10-27 23:38:54.818 +0900,671,49,False
