id,created,modified,slug,title,user_id,is_official,search_vector,status,language,is_draft,old_id,is_deleted,is_onboard,platform,pik_photo_id,memo,is_default
24531,2022-09-15 17:35:32.853 +0900,2022-09-15 17:35:32.856 +0900,powerlifting-training-plan,Powerlifting Training Plan,6238,False,,public,ko,False,,False,False,,,,False
756,2020-05-24 12:17:29.942 +0900,2020-08-26 13:52:54.969 +0900,피큐레잇-초기창업-패키지-자료-모음,[피큐레잇] 초기창업 패키지 자료 모음,49,False,'모음':5A '자료':4A '초기창업':2A '패키지':3A '피큐레잇':1A,private,ko,False,,False,False,,,,False
736,2020-05-14 14:30:57.187 +0900,2020-08-26 13:52:55.110 +0900,디자인사이트모음,디자인사이트모음,465,False,'디자인사이트모음':1A,public,ko,False,,False,False,,,,False
24327,2022-09-12 18:00:43.714 +0900,2022-09-12 18:00:43.718 +0900,about-pistol-drama,About Pistol Drama,6570,False,,public,ko,False,,False,False,,,,False
454,2019-11-13 14:16:28.742 +0900,2020-08-26 13:52:56.121 +0900,최신-트렌드-맨투맨-454,최신 트렌드 맨투맨,429,False,"'데일리룩':10B '맨투맨':3A,6B '스타일링':11B '입니다':8B '정보':7B '최신':1A,4B '커플시밀러룩추천':9B '트렌드':2A,5B",public,ko,False,,False,False,,,,False
453,2019-11-13 14:13:42.816 +0900,2020-08-26 13:52:56.124 +0900,최신-트렌드-맨투맨-453,최신 트렌드 맨투맨,429,False,"'데일리룩':8B '맨투맨':3A '맨투맨입니다':6B '스타일링':9B '최신':1A,4B '커플시밀러룩맨투맨':7B '트렌드':2A,5B",public,ko,False,,False,False,,,,False
452,2019-11-13 14:04:31.149 +0900,2020-08-26 13:52:56.127 +0900,최신-트렌드-맨투맨-452,최신 트렌드 맨투맨,429,False,"'데일리룩':9B '맨투맨':3A,6B '스타일링':10B '입니다':7B '최신':1A,4B '커플시밀러룩맨투맨':8B '트렌드':2A,5B",public,ko,False,,False,False,,,,False
451,2019-11-13 13:38:09.462 +0900,2020-08-26 13:52:56.130 +0900,숨겨진-명작을-찾아주는-영화-추천-서비스-모음-451,숨겨진 명작을 찾아주는 영화 추천 서비스 모음,428,False,"'넷플릭스':16B '명작을':2A,9B '모음':7A,14B '서비스':6A,13B '숨겨진':1A,8B '영화':4A,11B '왓챠플레이':17B '찾아주는':3A,10B '추천':5A,12B '포스트':15B",public,ko,False,,False,False,,,,False
450,2019-11-13 13:13:48.354 +0900,2020-08-26 13:52:56.134 +0900,숨겨진-명작을-찾아주는-영화-추천-서비스-모음,숨겨진 명작을 찾아주는 영화 추천 서비스 모음,425,False,"'명작을':2A,9B '모음':7A '모음입니다':14B '서비스':6A,13B '숨겨진':1A,8B '숨은명작영화추천':16B '영화':4A,11B '영화추천서비스':15B '찾아주는':3A,10B '추천':5A,12B",public,ko,False,,False,False,,,,False
837,2020-07-07 19:44:35.150 +0900,2020-08-26 16:37:41.342 +0900,피큐레잇-고용-관련-정보-모음,[피큐레잇] 고용 관련 정보 모음,49,False,'고용':2A '관련':3A '모음':5A '정보':4A '피큐레잇':1A,public,ko,False,,False,False,,,,False
