id,created,modified,title,description,url,category_id,picture_id,user_id,default_logo,position,search_vector,old_id,memo,is_deleted,is_draft,platform,curating_point,next_obj,previous_obj,imported
575905,2022-09-02 13:06:34.175 +0900,2022-09-02 13:06:35.152 +0900,중앙선거관리위원회 선거통계시스템,,http://info.nec.go.kr/main/showDocument.xhtml?electionId=0020120411,61672.0,568574.0,1576,2,-1,,,중앙선거관리위원회,False,False,web,1,515794,0,
575904,2022-09-02 13:06:31.288 +0900,2022-09-02 13:06:32.591 +0900,"당당한 매력과 밝은 에너지의 가수 장원영, 이니스프리 브랜드 모델","Mnet 에 참가해 주목을 받았고, 걸그룹 아이즈원의 멤버 장원영이 이니스프리 모델에 발탁됐다.노래, 춤, 외모 등 넘치는 끼와 건강한 에너지, 당당한 매력으로 ‘완성형아이돌’, ‘사기캐’ 등으로 불리며 세대와 국경을 넘어 글로벌 아티스트로서 큰 사랑을 받고 있는 장원영은 브랜드가 추구하는 이미지와 가치관에 부합한다는 평가다.이니스프리(www.innisfree.com)가 가수 장원영을 모델로 발탁하고, 티저 영상을 27일 공개했다고 밝혔다.‘이니스프리’는 자연스러운 아름다움을 추구하고, 의식 있는 친환경 활동을 실천",https://www.pharmnews.com/news/articleView.html?idxno=106011,52004.0,568573.0,1576,3,-1,,,[4],False,False,web,1,575903,0,
575903,2022-09-02 13:06:28.687 +0900,2022-09-02 13:06:32.923 +0900,"장원영·엔하이픈 성훈, '뮤직뱅크' 새MC 확정",[한국연예스포츠신문] 김보민 기자 = 그룹 아이즈원 출신 장원영과 엔하이픈 멤버 성훈이 '뮤직뱅크' 새 MC로 발탁되었다. KBS 측에 의하면 성훈과 장원영은 10월 8일부터 '뮤직뱅크' MC로 활약할 예정이다. 톱스타 등용문으로 소문난 뮤직뱅크 새 MC 자리에 함께한 두 사람이 음악방송 MC로서 어떤 매력을 보여 줄지 기대감이 커지고 있다.4세대 아이돌 대표로 낙점된 성훈은 2020년 하이브 산하 빌리프랩에서 엔하이픈으로 데뷔했다. 피겨 스케이팅 국가대표 상비군 출신이라는 이력으로 화제를 모으기도 했다. 장원영은 2018년 아이즈,http://www.koreaes.com/news/articleView.html?idxno=360652,52004.0,568572.0,1576,2,-1,,,[5],False,False,web,1,575902,575904,
575907,2022-09-02 13:06:39.874 +0900,2022-09-02 13:06:41.251 +0900,새정치민주연합 전국여성위원장에 서영교 의원,서영교(사진) 의원이 새정치민주연합 신임 전국여성위원장으로 선출됐다.새정치연합은 4일 서울 올림픽공원에서 열린 전국 여성·청년위원장 선출 대회에서 서 의원이 63.38%의 지지율을 얻어 36.62%의 지지율을 기록한 박인혜 전 새정치연합 여성리더십센터 소장을 상대로 승리했다고 밝혔다. 이번 투표는 대의원 현장투표와 권리당원 ARS 전수투표 결과를 각각 50%씩 반영해 집계했다.이화여대 총학생회장을 지낸 서 의원은 서울 중랑구에서 10년간 무료 도서 대여실과 주부대학을 운영한 시민 운동가 출신이다. 노무현정부 당시 청와대 춘추관장 등,http://www.womennews.co.kr/news/82261#.VeryhtEVjIX,77192.0,568576.0,1576,3,-1,,,새정치민주연합 전국여성위원장에 서영교 의원,False,False,web,1,575906,0,
575906,2022-09-02 13:06:36.975 +0900,2022-09-02 13:06:41.684 +0900,"[미래와 여성, 2부-④]서영교 새정치민주연합 의원 “고용평등 위해 법ㆍ제도 정비”","“항상 여성과 서민을 위한 정치를 해 나갈 것이다. 특히 약자를 도울 수 있는 의정활동, 입법활동을 지속하겠다.”새정치민주연합 전국여성위원회 위원",http://www.etoday.co.kr/news/section/newsview.php?idxno=1191926,77192.0,568575.0,1576,2,-1,,,"(미래와 여성, 2부-④)서영교 새정치민주연합 의원 고용평등 위해 법·제도 정비",False,False,web,1,565112,575907,
511520,2022-06-15 11:04:21.940 +0900,2022-09-02 13:06:44.738 +0900,서태지-이지아 1997년 美혼인신고 '확인' - 머니투데이,"가수 서태지와 탤런트 이지아의 미국 혼인신고 여부가 확인돼 비밀결혼이 사실로 드러났다. 22일 온라인매체 디스패치는 ""미국 네바다주 등기소를 통해 혼인신고 ...",http://www.mt.co.kr/view/mtview.php?type=1&no=2011042210544021444&outlink=1,59941.0,,1576,4,-1,,,서태지-이지아 1997년 美혼인신고 확인,False,False,web,1,511519,575908,
575939,2022-09-02 13:08:16.897 +0900,2022-09-02 13:08:24.512 +0900,https://web.archive.org/web/20131016045356/http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=106&oid=025&aid=0002135648#,,https://web.archive.org/web/20131016045356/http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=106&oid=025&aid=0002135648#,59944.0,,1576,1,-1,,,Archived,False,False,web,1,575938,575940,
575911,2022-09-02 13:06:51.813 +0900,2022-09-02 13:06:57.136 +0900,서태지 소속사 “2006년 이혼…” 입장 발표,서태지가 30일 오후 팬들에게 글을 직접 쓴 직후 소속사 서태지컴퍼니 역시 공식 입장을 담은 보도자료를...,http://sports.khan.co.kr/news/sk_index.html?cat=view&art_id=201104301629174&sec_id=540101,59941.0,568580.0,1576,4,-1,,,이지아 서태지와는 1993년 처음 만났다,False,False,web,1,575910,575912,
575913,2022-09-02 13:06:58.545 +0900,2022-09-02 13:07:03.135 +0900,미 법원 2006년 서태지·이지아 이혼 판결,서태지 씨와 이지아 씨 측이 실제 이혼이 이뤄진 시기를 두고 서로 엇갈린 주장을 내놓고 있는 가운데 이들이 지난 2006년에 이혼 판결을 받은 것으로 추정되는 미국 법원 측의 기록이 발견돼 ...,http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=052&aid=0000350930,59941.0,568582.0,1576,3,-1,,,미 법원 2006년 서태지·이지아 이혼 판결,False,False,web,1,575912,575914,
575918,2022-09-02 13:07:13.677 +0900,2022-09-02 13:07:18.251 +0900,"서태지·이지아 소송, 쟁점은？",[앵커멘트] 인기가수 서태지 씨와 여배우 이지아 씨가 10년 안팎의 결혼생활을 끝내고 위자료와 재산분할 청구 소송을 냈죠. 이혼 시점이 달라 갈등을 빚고 있는데 법적인 쟁점은 무엇이고 ...,http://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=102&oid=052&aid=0000350866,59942.0,568586.0,1576,4,-1,,,"서태지·이지아 소송, 쟁점은？",False,False,web,1,575917,575919,
